14 22
0\0 10\0 24\0 7\0 0\0 0\0 0\0 8\0 17\0 13\0 0\0 0\0 0\0 22\0 12\0 24\0 0\0 0\0 0\0 19\0 28\0 14\0
0\7 _ _ _ 16\0 0\0 17\12 _ _ _ 32\0 0\0 34\23 _ _ _ 35\0 0\0 31\23 _ _ 0
0\11 _ _ _ _ 9\19 _ _ _ _ _ 7\33 _ _ _ _ _ 7\28 _ _ _ 0
0\28 _ _ _ _ _ _ _ 0\34 _ _ _ _ _ 0\29 _ _ _ _ _ _ 0
0\12 _ _ 27\7 _ _ _ 16\0 0\0 20\16 _ _ _ 30\0 0\0 30\10 _ _ _ 26\10 _ 0
0\0 12\0 20\18 _ _ _ _ _ 22\20 _ _ _ _ _ 9\29 _ _ _ _ _ 10\0 20\0
0\24 _ _ _ _ 0\35 _ _ _ _ _ 0\23 _ _ _ _ _ 0\26 _ _ _ 0
0\23 _ _ _ 31\0 0\0 16\9 _ _ _ 17\0 0\0 32\10 _ _ _ 19\0 0\0 34\23 _ _ 0
0\15 _ _ _ _ 8\19 _ _ _ _ _ 24\33 _ _ _ _ _ 24\10 _ _ _ 0
0\0 10\0 15\19 _ _ _ _ _ 0\35 _ _ _ _ _ 0\31 _ _ _ _ _ 30\0 12\0
0\4 _ _ 20\10 _ _ _ 6\0 0\0 9\18 _ _ _ 6\0 0\0 7\24 _ _ _ 24\12 _ 0
0\41 _ _ _ _ _ _ _ 8\23 _ _ _ _ _ 7\36 _ _ _ _ _ _ 0
0\14 _ _ _ _ 0\17 _ _ _ _ _ 0\15 _ _ _ _ _ 0\26 _ _ _ 0
0\7 _ _ _ 0\0 0\0 0\7 _ _ _ 0\0 0\0 0\6 _ _ _ 0\0 0\0 0\23 _ _ 0
